# Simulation 1 (Up to date),
# 2735 data points written for 2 variables.,
# Simulation warnings:,
#   No recovery device defined in the simulation.,
#,
# Drag coefficient (​),Mach number (​)
# Event SIM_WARN occurred at t=0 seconds: No recovery device defined in the simulation.,
# Event IGNITION occurred at t=0 seconds,
# Event LAUNCH occurred at t=0 seconds,
0.442,0.044
0.444,0.042
0.446,0.041
0.449,0.039
0.451,0.038
0.453,0.036
0.456,0.035
0.459,0.033
0.462,0.032
0.465,0.03
0.468,0.029
0.471,0.027
0.475,0.026
0.479,0.024
0.484,0.023
0.488,0.021
0.493,0.02
0.499,0.018
0.506,0.017
0.513,0.016
0.521,0.014
0.53,0.013
0.541,0.011
0.553,0.01
0.569,0.008
0.589,0.007
0.616,0.005
0.655,0.004
0.72,0.002
0.842,0.001
# Event APOGEE occurred at t=23.775 seconds,
0.82,0.001
0.707,0.003
0.648,0.004
0.611,0.005
0.586,0.007
0.567,0.008
0.551,0.01
0.539,0.011
0.528,0.013
0.519,0.014
0.512,0.016
0.505,0.017
0.498,0.019
0.493,0.02
0.488,0.022
0.483,0.023
0.479,0.025
0.475,0.026
0.471,0.028
0.468,0.029
0.464,0.031
0.461,0.032
0.458,0.034
0.456,0.035
0.453,0.036
0.451,0.038
0.448,0.039
0.446,0.041
0.444,0.042
0.442,0.044
